PING 172.31.25.53 (172.31.25.53) 10000(10028) bytes of data.
10008 bytes from 172.31.25.53: icmp_seq=1 ttl=64 time=0.989 ms
10008 bytes from 172.31.25.53: icmp_seq=2 ttl=64 time=0.965 ms
10008 bytes from 172.31.25.53: icmp_seq=3 ttl=64 time=1.00 ms
10008 bytes from 172.31.25.53: icmp_seq=4 ttl=64 time=0.999 ms
10008 bytes from 172.31.25.53: icmp_seq=5 ttl=64 time=0.988 ms
10008 bytes from 172.31.25.53: icmp_seq=6 ttl=64 time=0.972 ms
10008 bytes from 172.31.25.53: icmp_seq=7 ttl=64 time=0.964 ms
10008 bytes from 172.31.25.53: icmp_seq=8 ttl=64 time=1.01 ms
10008 bytes from 172.31.25.53: icmp_seq=9 ttl=64 time=0.994 ms
10008 bytes from 172.31.25.53: icmp_seq=10 ttl=64 time=1.21 ms
10008 bytes from 172.31.25.53: icmp_seq=11 ttl=64 time=0.992 ms
10008 bytes from 172.31.25.53: icmp_seq=12 ttl=64 time=1.06 ms
10008 bytes from 172.31.25.53: icmp_seq=13 ttl=64 time=0.980 ms
10008 bytes from 172.31.25.53: icmp_seq=14 ttl=64 time=1.00 ms
10008 bytes from 172.31.25.53: icmp_seq=15 ttl=64 time=1.02 ms
10008 bytes from 172.31.25.53: icmp_seq=16 ttl=64 time=1.00 ms
10008 bytes from 172.31.25.53: icmp_seq=17 ttl=64 time=1.04 ms
10008 bytes from 172.31.25.53: icmp_seq=18 ttl=64 time=1.00 ms
10008 bytes from 172.31.25.53: icmp_seq=19 ttl=64 time=1.02 ms
10008 bytes from 172.31.25.53: icmp_seq=20 ttl=64 time=1.01 ms
10008 bytes from 172.31.25.53: icmp_seq=21 ttl=64 time=1.09 ms
10008 bytes from 172.31.25.53: icmp_seq=22 ttl=64 time=0.964 ms
10008 bytes from 172.31.25.53: icmp_seq=23 ttl=64 time=1.00 ms
10008 bytes from 172.31.25.53: icmp_seq=24 ttl=64 time=1.00 ms
10008 bytes from 172.31.25.53: icmp_seq=25 ttl=64 time=1.10 ms
10008 bytes from 172.31.25.53: icmp_seq=26 ttl=64 time=1.01 ms
10008 bytes from 172.31.25.53: icmp_seq=27 ttl=64 time=0.990 ms
10008 bytes from 172.31.25.53: icmp_seq=28 ttl=64 time=0.926 ms
10008 bytes from 172.31.25.53: icmp_seq=29 ttl=64 time=0.955 ms
10008 bytes from 172.31.25.53: icmp_seq=30 ttl=64 time=0.939 ms
10008 bytes from 172.31.25.53: icmp_seq=31 ttl=64 time=0.965 ms
10008 bytes from 172.31.25.53: icmp_seq=32 ttl=64 time=0.958 ms
10008 bytes from 172.31.25.53: icmp_seq=33 ttl=64 time=1.00 ms
10008 bytes from 172.31.25.53: icmp_seq=34 ttl=64 time=1.00 ms
10008 bytes from 172.31.25.53: icmp_seq=35 ttl=64 time=0.955 ms
10008 bytes from 172.31.25.53: icmp_seq=36 ttl=64 time=0.997 ms
10008 bytes from 172.31.25.53: icmp_seq=37 ttl=64 time=0.984 ms

--- 172.31.25.53 ping statistics ---
37 packets transmitted, 37 received, 0% packet loss, time 36061ms
rtt min/avg/max/mdev = 0.926/1.003/1.213/0.063 ms
